,return,market cap
A000010,,
A000020,0.21538461538461423,335178.0
A000030,0.012698412698412117,10883600.0
A000040,0.4519427402862994,82155.0
A000050,0.09712230215827287,415341.0
A000060,-0.10425531914893607,2272963.0
A000070,-0.17213114754098433,894966.0
A000075,-0.0734767025089605,15750.0
A000080,-0.11203319502074655,1525406.0
A000085,,
A000087,-0.06830601092896131,19495.0
A000100,0.04794520547945188,2826465.0
A000105,0.0471204188481673,48064.0
A000107,,
A000110,,
A000120,0.08571428571428519,3535913.0
A000140,-0.06039603960396028,220464.0
A000145,-0.09857723577235789,4190.0
A000147,,
A000149,,
A000150,-0.013274336283185938,2159775.0
A000155,-0.012261580381471954,319803.0
A000157,-0.01771117166212601,70969.0
A000180,0.11259541984732797,202628.0
A000200,,
A000205,,
A000210,0.01820388349514622,2940600.0
A000215,0.0045317220543807015,124640.0
A000220,0.3781512605042013,103171.0
A000225,0.1578947368421053,9022.0
A000227,0.04289544235924942,3109.0
A000230,-0.013201320132012875,160502.0
A000240,-0.06349206349206324,1637155.0
A000250,,
A000270,-0.06417910447761271,12728409.0
A000280,,
A000300,0.5136986301369874,98695.0
A000310,,
A000315,,
A000317,,
A000320,-0.015527950310559743,213988.0
A000325,-0.15085158150851563,3260.0
A000327,,
A000360,,
A000365,,
A000370,-0.07125307125307154,887216.0
A000380,,
A000390,0.0081300813008129,201728.0
A000400,0.07241379310344895,424325.0
A000420,,
A000425,,
A000430,0.16443850267379545,278380.0
A000440,,
A000470,,
A000475,,
A000480,-0.04592422502870289,336400.0
A000490,-0.15729166666666627,195046.0
A000500,0.1067538126361656,107337.0
A000520,3.2203985932004717,205975.0
A000540,0.10093457943925256,387383.0
A000545,0.10303030303030308,4109.0
A000547,0.1743119266055041,3855.0
A000590,-0.016209476309226537,89357.0
A000610,,
A000640,-0.011718750000000085,773425.0
A000650,-0.051742344244983925,128773.0
A000660,0.07712418300653613,59768994.0
A000670,-0.21787709497206678,1573102.0
A000680,0.17962003454231418,266748.0
A000685,,
A000687,,
A000700,0.08346456692913351,180991.0
A000720,0.3760330578512399,5757093.0
A000725,1.7608008429926247,12357.0
A000760,0.1388888888888881,56280.0
A000790,,
A000800,,
A000805,,
A000810,0.016853932584269014,12743831.0
A000815,0.031073446327683264,579348.0
A000830,,
A000835,,
A000840,,
A000850,-0.06474820143884844,114840.0
A000860,-0.13751668891855856,216125.0
A000880,-0.028915662650602632,3080804.0
A000885,-0.039906103286384706,9730.0
A000887,,
A00088K,-0.05785123966942171,386518.0
A000890,0.20901639344262293,112988.0
A000895,,
A000900,,
A000905,,
A000910,0.27877237851662356,85708.0
A000950,0.1321243523316064,36036.0
A000970,0.4325529542920851,302107.0
A000980,,
A000985,,
A000990,0.12083333333333332,603821.0
A000995,0.013177159590043886,3841.0
A000997,,
A001000,,
A001020,0.24390243902438993,84578.0
A001030,,
A001035,,
A001040,-0.12121212121212152,4785028.0
A001045,-0.07133592736705575,160928.0
A001047,,
A001049,,
A001060,-0.07174392935982321,830653.0
A001065,-0.06936416184971139,4021.0
A001067,-0.03533568904593609,3508.0
A001070,-0.15994623655913978,65455.0
A001080,-8.673617379884035e-19,75530.0
A001110,,
A001120,-0.02578268876611424,1065900.0
A001130,0.07507507507507415,306735.0
A001140,0.26332622601279254,20019.0
A001150,,
A001155,,
A001190,,
A001200,0.06580829756795474,364702.0
A001210,0.1384615384615376,57208.0
A001230,-0.090909090909091,968642.0
A001250,0.3237924865831848,309502.0
A001260,3.4527363184079616,285939.0
A001265,,
A001270,-0.049701789264413834,245766.0
A001275,-0.07456140350877226,63750.0
A001280,,
A001290,0.6308139534883723,148532.0
A001295,,
A001300,,
A001310,,
A001340,0.31758034026465004,155642.0
A001350,,
A001360,-0.02114427860696528,176322.0
A001370,,
A001375,,
A001380,-0.2875000000000003,130846.0
A001385,,
A001390,0.13673469387755094,349364.0
A001400,,
A001420,0.23376623376623407,32414.0
A001430,-0.1084337349397587,955725.0
A001440,0.35555555555555507,1314686.0
A001450,-0.1851063829787234,3356970.0
A001460,-0.07843137254901968,176454.0
A001465,-0.019672131147540642,32308.0
A001470,0.423850574712642,207373.0
A001490,,
A001500,1.916869440954372e-16,321241.0
A001510,0.043478260869565084,387342.0
A001515,-0.04775280898876453,13185.0
A001520,0.0352644836272041,494076.0
A001525,-0.06322444678609106,5492.0
A001527,0.009708737864076868,3209.0
A001529,0.04966139954853228,2158.0
A001530,-0.0446927374301671,122245.0
A001540,,
A001550,0.39130434782608725,82557.0
A001560,0.07627118644067733,62500.0
A001570,-0.04637096774193503,104063.0
A001580,,
A001590,,
A001600,,
A001620,0.16901408450704122,66374.0
A001630,-0.03586206896551716,350690.0
A001670,,
A001675,,
A001680,-0.047186932849364704,886989.0
A001685,-0.022641509433962034,17744.0
A001687,,
A001689,,
A001690,,
A001695,,
A001697,,
A001720,0.024691358024691364,540647.0
A001725,-0.06557377049180302,365385.0
A001740,-0.1759398496240599,1369996.0
A001745,0.09289617486338793,6808.0
A001750,0.003886010362694183,98773.0
A001755,-0.08205689277899345,4400.0
A001770,0.3749999999999997,28124.0
A001780,0.23691860465116205,322317.0
A001785,,
A001787,,
A001790,-0.04081632653061228,208624.0
A001795,-0.08802816901408513,8330.0
A001797,,
A001799,0.030237580993520523,3040.0
A001800,-0.0881801125703566,1519118.0
A001810,,
A001820,0.4169570267131246,626819.0
A001830,,
A001835,,
A001837,,
A001840,,
A001850,,
A001880,0.030000000000000495,239840.0
A001890,,
A001920,,
A001940,-0.029649595687331595,255344.0
A001950,,
A001955,,
A001970,,
A001975,,
A001980,,
A002000,0.11764705882353013,403186.0
A002005,-0.01528013582343028,13256.0
A002020,-0.16938110749185695,615120.0
A002025,-0.1872791519434629,24757.0
A002027,,
A002030,0.22270742358078546,306743.0
A002050,,
A002055,,
A002070,-0.061776061776062104,50342.0
A002080,,
A002100,0.14808652246256251,151408.0
A002105,,
A002130,,
A002140,0.2899628252788108,87039.0
A002150,0.6905965621840235,287294.0
A002170,0.07776427703523738,132600.0
A002180,,
A002200,0.5527156549520761,97400.0
A002210,2.656565656565657,459234.0
A002220,-0.022684310018903902,53142.0
A002230,,
A002240,-0.13567073170731703,574000.0
A002250,-0.03180212014134338,326686.0
A002270,0.3598553345388791,819474.0
A002290,,
A002300,0.06919642857142844,117116.0
A002310,0.6071428571428565,261978.0
A002320,-0.023076923076923283,305354.0
A002350,0.029661016949153296,1196431.0
A002355,-0.1364421416234886,32403.0
A002360,0.021352313167259596,161700.0
A002365,,
A002380,0.010498687664042565,4090649.0
A002390,0.024242424242423052,455573.0
A002410,0.41274238227146903,64534.0
A002420,0.23433242506811977,37335.0
A002450,0.010638297872340288,214106.0
A002460,0.019801980198019684,195478.0
A002470,,
A002480,,
A002530,,
A002535,,
A002540,,
A002550,,
A002580,,
A002585,,
A002600,-0.21527777777777796,134700.0
A002610,,
A002615,,
A002620,-0.13547486033519496,135580.0
A002630,0.05092592592592565,182724.0
A002670,,
A002680,,
A002690,0.03981623277182315,51000.0
A002700,0.20430107526881716,115097.0
A002710,0.15343915343915343,46808.0
A002720,0.2011385199240985,116107.0
A002740,,
A002745,,
A002760,1.3842592592592573,156339.0
A002780,0.2767624020887725,310329.0
A002785,0.28549382716049443,2923.0
A002787,0.1987261146496822,2134.0
A002790,0.007092198581560117,11956436.0
A002795,-0.027303754266210865,365362.0
A002797,,
A002800,,
A002810,-3.543172699682628e-16,290636.0
A002820,-0.09220779220779256,89643.0
A002840,0.06222222222222227,187926.0
A002850,,
A002855,,
A002857,,
A002860,,
A002870,0.405109489051095,41601.0
A002880,0.21800947867298487,113922.0
A002900,0.6012269938650302,172627.0
A002920,-0.05337078651685399,87962.0
A002930,,
A002940,,
A002950,,
A002955,,
A002957,,
A002960,-0.1289062499999999,436150.0
A002990,0.29337539432176674,430194.0
A002995,0.3935926773455375,6854.0
A003000,0.10805084745762732,1270627.0
A003010,0.8992805755395706,96617.0
A003020,,
A003030,-0.11850311850311873,507000.0
A003040,,
A003050,,
A003060,0.03170731707317072,366168.0
A003070,0.08384458077709568,277315.0
A003075,-0.047752808988764744,5099.0
A003079,,
A003080,0.05775577557755815,128528.0
A003090,0.036175710594315375,1162840.0
A003100,,
A003110,,
A003120,-0.14552238805970127,312550.0
A003160,-0.05068226120857693,153547.0
A003190,,
A003200,-0.045454545454545414,252000.0
A003220,0.03039543576627998,391521.0
A003230,-0.03409090909090926,694544.0
A003240,-0.03568716780561846,1407338.0
A003260,,
A003280,0.07190412782956175,139526.0
A003300,0.045454545454545504,1184614.0
A003310,,
A003320,,
A003330,,
A003335,,
A003340,,
A003350,0.014492753623188089,227053.0
A003380,,
A003410,0.29222520107238603,2433642.0
A003415,0.30670926517571956,6159.0
A003417,,
A003419,,
A00341A,,
A00341D,,
A003430,,
A003450,,
A003457,,
A003460,-0.08176100628930828,165004.0
A003465,-0.06291390728476866,49458.0
A003470,0.1619170984455956,905170.0
A003475,0.0019723865877716734,33184.0
A003480,-0.06203473945409474,110441.0
A003490,0.017725258493352224,3248429.0
A003495,0.03460207612456689,16662.0
A003497,,
A003520,-0.028473804100228053,1565562.0
A003530,0.1685185185185175,548367.0
A003535,0.08506224066390042,12480.0
A003540,-0.06944444444444432,690518.0
A003545,-0.05696202531645532,233480.0
A003547,-0.04977375565610915,84200.0
A003550,-0.09780219780219733,14356753.0
A003555,-0.09456740442655871,149989.0
A003560,-0.1220472440944882,324643.0
A003570,-0.013368983957219527,237706.0
A003580,0.51345029239766,132925.0
A003590,,
A003595,,
A003600,,
A003605,,
A003610,0.01999999999999938,86109.0
A003620,-0.03515625000000029,696644.0
A003640,,
A003650,-0.06876456876456838,140044.0
A003660,,
A003670,,
A003680,0.06717557251908371,38784.0
A003690,0.04090909090909081,1378226.0
A003720,-0.10526315789473698,35020.0
A003780,0.03424657534246542,39260.0
A003800,,
A003810,,
A003830,0.05240174672488998,160688.0
A003850,0.252083333333333,531284.0
A003900,,
A003905,,
A003920,-0.0401721664275459,488160.0
A003925,-0.0449438202247188,35416.0
A003930,,
A003940,,
A003945,,
A003960,0.16463414634146342,173155.0
A003965,,
A003980,,
A003985,,
A003990,,
A004000,0.04468412942989239,1795680.0
A004010,,
A004020,-0.06996587030716668,7419586.0
A004025,,
A004060,-0.07659115426105732,174895.0
A004080,-0.036036036036035946,101760.0
A004090,0.19689119170984382,81900.0
A004100,0.005882352941176877,63124.0
A004105,0.02601156069364164,11435.0
A004110,,
A004130,-0.4288321167883209,329210.0
A004135,-0.12371134020618589,18360.0
A004137,,
A004140,0.27526132404181125,61958.0
A004145,,
A004147,,
A004149,,
A004150,0.17415115005476486,248953.0
A004155,,
A004170,0.3216666666666666,3815008.0
A004175,,
A004190,,
A004200,0.17796610169491525,153436.0
A004230,,
A004250,0.047892720306513245,200858.0
A004255,-0.03143418467583485,13068.0
A004270,-0.07870370370370408,72424.0
A004290,,
A004295,,
A004310,0.7101449275362322,208320.0
A004320,,
A004325,,
A004360,0.07142857142857141,260667.0
A004365,-0.05051813471502629,27042.0
A004367,,
A004370,-0.0748587570621462,1982941.0
A004380,-0.1382488479262677,399000.0
A004390,,
A004410,-0.042801556420233935,81991.0
A004415,-0.007707129094412452,10633.0
A004420,,
A004430,0.05740740740740714,696000.0
A004440,-0.11023622047244155,148327.0
A004450,-0.02509652509652534,109227.0
A004460,,
A004465,,
A004490,-0.09930069930069962,453600.0
A004510,,
A004530,,
A004540,0.008413461538461078,156970.0
A004545,-0.09063444108761347,5383.0
A004550,,
A004555,,
A004560,0.021367521367521115,183961.0
A004565,-0.020044543429844002,4850.0
A004590,,
A004620,,
A004650,,
A004660,,
A004690,-0.026548672566371678,437943.0
A004700,-0.06845965770171107,253665.0
A004710,-0.2814371257485033,271951.0
A004720,0.10917030567685576,144051.0
A004730,,
A004735,,
A004740,,
A004770,0.31095406360424105,112112.0
A004780,,
A004790,,
A004800,-0.10394265232974999,4530152.0
A004820,,
A004830,0.11126187245590283,64053.0
A004835,-0.024822695035460533,3786.0
A004837,,
A004840,-0.07251908396946573,142204.0
A004870,0.6738197424892718,422918.0
A004890,0.07121661721068247,177526.0
A004910,-0.09999999999999992,117632.0
A004920,0.3231197771587741,42582.0
A004940,,
A004945,,
A004947,,
A004960,-0.0220264317180616,259736.0
A004965,,
A004970,0.01215805471124607,268000.0
A004980,0.31737588652482296,183665.0
A004985,0.11044176706827259,3884.0
A004987,0.29245283018867946,2703.0
A004989,0.0393325387365906,2467.0
A004990,-0.003072196620583645,7477243.0
A00499K,-0.0864381520119226,60936.0
A005010,-0.08090614886731347,97898.0
A005030,-0.08849557522123881,29937.0
A005060,,
A005070,0.2524271844660188,314979.0
A005090,0.0377574370709379,222818.0
A005110,0.7008797653958931,102170.0
A005160,,
A005180,0.028526148969888778,629494.0
A005190,0.05454545454545364,93372.0
A005250,-0.019108280254776875,1819992.0
A005255,,
A005257,-0.18959107806691453,17808.0
A005270,,
A005280,,
A005290,,
A005300,0.23175319789315296,1320520.0
A005305,0.26984126984127066,55435.0
A005320,0.47749196141479117,62896.0
A005330,,
A005350,,
A005360,0.1947368421052632,66991.0
A005370,,
A005380,0.051282051282051426,35794928.0
A005385,0.07257203842049187,2445712.0
A005387,0.09803921568627393,4118718.0
A005389,0.041811846689894704,220569.0
A005390,0.23004694835680758,186821.0
A005410,,
A005420,-0.12761904761904797,363358.0
A005430,-0.15814393939394,140744.0
A005440,-7.927686285214005e-16,1475338.0
A005450,-0.0038986354775825396,36308.0
A005490,0.07969924812030053,30864140.0
A005500,0.28451882845188414,626890.0
A005560,,
A005580,,
A005600,,
A005605,,
A005610,-0.17571884984025554,1121771.0
A005620,,
A005670,,
A005680,-0.06513409961685823,249000.0
A005690,2.421052631578947,1063028.0
A005710,,
A005720,-0.0619235836627144,380162.0
A005725,-0.10531309297912715,16671.0
A005740,-0.013245033112583274,228649.0
A005745,-0.11895910780669147,7179.0
A005750,0.028213166144199737,106869.0
A005760,,
A005770,,
A005790,,
A005795,,
A005797,,
A005800,-0.08666666666666686,122400.0
A005810,-0.08571428571428573,377263.0
A005820,0.03455723542116632,52910.0
A005830,-0.11376404494382009,4439160.0
A005850,-0.13061224489795922,723020.0
A005860,,
A005870,0.013157894736841636,161628.0
A005880,0.23851203501094018,709590.0
A005890,,
A005895,,
A005897,,
A005900,,
A005930,-0.010989010989010478,323919124.0
A005935,-0.019617224880382134,37265660.0
A005940,0.08273381294964013,4333697.0
A005945,0.013437849944008528,171537.0
A005950,-0.15409836065573754,200906.0
A005960,0.1930693069306931,249282.0
A005965,0.6257485029940124,6004.0
A005980,0.16777629826897497,123175.0
A005990,,
A006000,,
A006040,-0.008928571428570833,1118264.0
A006050,,
A006060,-0.16097560975609776,480178.0
A006070,,
A006090,0.030534351145037587,128620.0
A006110,0.09399075500770404,39380.0
A006120,-0.21057692307692277,448626.0
A006125,-0.24800000000000033,25675.0
A006140,,
A006150,,
A006160,,
A006165,,
A006200,0.12639405204460977,41748.0
A006210,,
A006220,-0.07132867132867156,146714.0
A006250,,
A006260,0.03034482758620707,2434320.0
A006280,-0.0707964601769908,2518449.0
A006290,,
A006295,,
A006300,,
A006340,0.6046511627906968,121571.0
A006345,0.4699331848552336,9096.0
A006347,,
A006350,,
A006360,0.30742049469964616,2735138.0
A006370,-0.1701244813278005,108216.0
A006375,,
A006380,0.032981530343007735,322800.0
A006390,0.5081967213114753,390474.0
A006400,-0.13936430317848417,12549527.0
A006405,-0.13796791443850231,134124.0
A006440,,
A006445,,
A006490,5.400000000000012,1226409.0
A006570,-0.0918181818181811,76125.0
A006580,,
A006600,,
A006605,,
A006610,,
A006620,,
A006650,0.00948766603415607,1755000.0
A006660,0.03493449781659363,97516.0
A006730,,
A006740,0.22068965517241354,77034.0
A006750,,
A006800,0.050756901157613374,6363322.0
A006805,-0.11426639621365825,74179.0
A00680K,-0.04253112033195024,653100.0
A006840,0.07591240875912415,992242.0
A006880,0.13391304347826108,77242.0
A006890,0.05585980284775446,55970.0
A006910,,
A006920,,
A006980,0.13073005093378623,105060.0
A007050,,
A007070,-0.1426799007444162,2721950.0
A007090,,
A007091,,
A007100,,
A007110,1.0566801619433204,217653.0
A007120,0.25693160813308696,69093.0
A007150,,
A007160,0.0248901903367498,347500.0
A007190,,
A007195,,
A007197,,
A007200,,
A007210,0.0500000000000002,303035.0
A007280,1.268867924528302,77850.0
A007310,-0.04218362282878344,2703840.0
A007330,,
A007340,0.015649452269170087,329302.0
A007360,,
A007365,,
A007367,,
A007369,,
A00736A,,
A00736B,,
A00736C,,
A00736D,,
A00736E,,
A007370,,
A007390,,
A007410,,
A007420,,
A007460,-0.03076923076923059,647072.0
A007480,,
A007490,,
A007530,,
A007540,0.019867549668873833,89294.0
A007570,0.06874189364461733,778981.0
A007575,-0.011718749999999976,10882.0
A007590,0.10857142857142893,105536.0
A007595,,
A007610,1.0947867298578222,126540.0
A007630,0.5652173913043461,456301.0
A007640,,
A007641,,
A007660,0.007100591715977271,170645.0
A007680,,
A007690,0.052297939778130055,385825.0
A007700,0.06793802145411172,712250.0
A007720,,
A007721,,
A007770,,
A007800,,
A007810,-0.34772727272727316,205501.0
A007815,-0.17465069860279456,12140.0
A00781K,-0.13003663003663024,3707.0
A007820,,
A007830,,
A007840,,
A007860,-0.157608695652174,148393.0
A007910,,
A007930,,
A007980,-0.055555555555555254,170449.0
A008000,0.012690355329949797,
A008020,,
A008030,,
A008040,0.11347517730496452,227243.0
A008060,-0.14401622718052742,408913.0
A008110,0.04244694132334625,44217.0
A008120,,
A008250,0.02205882352941111,93173.0
A008260,0.17576791808873782,99636.0
A008270,,
A008290,,
A008320,,
A008340,,
A008350,0.16666666666666746,126155.0
A008355,0.0011148272017837617,2725.0
A008370,,
A008400,,
A008405,,
A008420,0.1746031746031747,68277.0
A008440,,
A008470,,
A008480,,
A008485,,
A008490,0.04128440366972444,400291.0
A008500,-0.20080321285140515,24000.0
A008530,,
A008540,,
A008560,-0.11038251366120201,2504326.0
A008600,0.17283950617283922,106590.0
A008640,,
A008670,,
A008675,,
A008690,,
A008700,0.5045454545454544,254898.0
A008705,,
A008720,,
A008730,-0.2146226415094336,420360.0
A008750,,
A008770,0.24852767962308597,4219173.0
A008775,0.04255319148936142,40601.0
A008780,,
A008800,,
A008830,,
A008870,0.04378531073446329,73900.0
A008900,,
A008920,,
A008930,-0.29369369369369347,5035492.0
A008970,1.285368802902055,177771.0
A008975,,
A008980,,
A008985,,
A008990,,
A009010,,
A009050,,
A009070,0.18164062500000033,97050.0
A009080,,
A009085,,
A009140,0.3705583756345182,42883.0
A009150,0.1750000000000002,8739162.0
A009155,0.04525862068965522,139535.0
A009160,0.03995157384987901,124483.0
A009180,0.20731707317073192,41853.0
A009190,0.22499999999999934,48656.0
A009200,0.3578732106339473,138975.0
A009220,,
A009240,-0.3194444444444449,2859372.0
A009270,0.4198113207547149,237490.0
A009275,0.07894736842105302,5698.0
A009280,,
A009290,0.07885714285714299,500095.0
A009300,,
A009310,-0.1704119850187272,111661.0
A009320,0.2580037664783425,161998.0
A009330,,
A009335,,
A009337,,
A009360,,
A009380,,
A009385,,
A009410,0.11165048543689267,870960.0
A009415,0.1324110671936765,15217.0
A009420,0.22745901639344235,1593339.0
A009440,0.07115384615384653,127206.0
A009450,0.16764132553606284,751631.0
A009460,0.059405940594059355,63844.0
A009470,-0.06284153005464474,117065.0
A009520,,
A009540,0.17251010964272293,8126938.0
A009580,0.5259095920617418,437202.0
A009620,,
A009680,0.1304347826086958,348150.0
A009690,,
A009720,,
A009730,,
A009760,,
A009770,-0.09265944645005962,92749.0
A009780,,
A009790,,
A009795,,
A009810,0.46271510516252334,51475.0
A009815,,
A009830,-0.10126582278480956,4762990.0
A009835,-0.11246200607902726,16407.0
A009837,,
A009840,,
A009890,,
A009895,,
A009897,,
A009940,,
A009970,-0.01441441441441408,747230.0
