,u_cd,trd_dt,gicode,u_nm
0,I.005,20171228,A000080,코스피 음식료품
1,I.005,20171228,A000087,코스피 음식료품
2,I.005,20171228,A000890,코스피 음식료품
3,I.005,20171228,A001130,코스피 음식료품
4,I.005,20171228,A001680,코스피 음식료품
5,I.005,20171228,A001685,코스피 음식료품
6,I.005,20171228,A001790,코스피 음식료품
7,I.005,20171228,A001795,코스피 음식료품
8,I.005,20171228,A001799,코스피 음식료품
9,I.005,20171228,A001800,코스피 음식료품
10,I.005,20171228,A002140,코스피 음식료품
11,I.005,20171228,A002270,코스피 음식료품
12,I.005,20171228,A002600,코스피 음식료품
13,I.005,20171228,A003230,코스피 음식료품
14,I.005,20171228,A003680,코스피 음식료품
15,I.005,20171228,A003920,코스피 음식료품
16,I.005,20171228,A003925,코스피 음식료품
17,I.005,20171228,A003960,코스피 음식료품
18,I.005,20171228,A004370,코스피 음식료품
19,I.005,20171228,A004410,코스피 음식료품
20,I.005,20171228,A004415,코스피 음식료품
21,I.005,20171228,A004990,코스피 음식료품
22,I.005,20171228,A00499K,코스피 음식료품
23,I.005,20171228,A005180,코스피 음식료품
24,I.005,20171228,A005300,코스피 음식료품
25,I.005,20171228,A005305,코스피 음식료품
26,I.005,20171228,A005610,코스피 음식료품
27,I.005,20171228,A006090,코스피 음식료품
28,I.005,20171228,A006980,코스피 음식료품
29,I.005,20171228,A007310,코스피 음식료품
30,I.005,20171228,A008040,코스피 음식료품
31,I.005,20171228,A011150,코스피 음식료품
32,I.005,20171228,A011155,코스피 음식료품
33,I.005,20171228,A014710,코스피 음식료품
34,I.005,20171228,A023150,코스피 음식료품
35,I.005,20171228,A027740,코스피 음식료품
36,I.005,20171228,A033920,코스피 음식료품
37,I.005,20171228,A036580,코스피 음식료품
38,I.005,20171228,A049770,코스피 음식료품
39,I.005,20171228,A079660,코스피 음식료품
40,I.005,20171228,A097950,코스피 음식료품
41,I.005,20171228,A097955,코스피 음식료품
42,I.005,20171228,A101530,코스피 음식료품
43,I.005,20171228,A136490,코스피 음식료품
44,I.005,20171228,A145990,코스피 음식료품
45,I.005,20171228,A145995,코스피 음식료품
46,I.005,20171228,A248170,코스피 음식료품
47,I.005,20171228,A264900,코스피 음식료품
48,I.005,20171228,A26490K,코스피 음식료품
49,I.005,20171228,A271560,코스피 음식료품
50,I.005,20171228,A280360,코스피 음식료품
51,I.006,20171228,A000050,"코스피 섬유,의복"
52,I.006,20171228,A000950,"코스피 섬유,의복"
53,I.006,20171228,A001070,"코스피 섬유,의복"
54,I.006,20171228,A001460,"코스피 섬유,의복"
55,I.006,20171228,A001465,"코스피 섬유,의복"
56,I.006,20171228,A001530,"코스피 섬유,의복"
57,I.006,20171228,A002070,"코스피 섬유,의복"
58,I.006,20171228,A003200,"코스피 섬유,의복"
59,I.006,20171228,A003610,"코스피 섬유,의복"
60,I.006,20171228,A005800,"코스피 섬유,의복"
61,I.006,20171228,A005820,"코스피 섬유,의복"
62,I.006,20171228,A007700,"코스피 섬유,의복"
63,I.006,20171228,A007980,"코스피 섬유,의복"
64,I.006,20171228,A008500,"코스피 섬유,의복"
65,I.006,20171228,A009270,"코스피 섬유,의복"
66,I.006,20171228,A009275,"코스피 섬유,의복"
67,I.006,20171228,A011300,"코스피 섬유,의복"
68,I.006,20171228,A014990,"코스피 섬유,의복"
69,I.006,20171228,A016090,"코스피 섬유,의복"
70,I.006,20171228,A020000,"코스피 섬유,의복"
71,I.006,20171228,A084870,"코스피 섬유,의복"
72,I.006,20171228,A090370,"코스피 섬유,의복"
73,I.006,20171228,A093050,"코스피 섬유,의복"
74,I.006,20171228,A093240,"코스피 섬유,의복"
75,I.006,20171228,A102280,"코스피 섬유,의복"
76,I.006,20171228,A105630,"코스피 섬유,의복"
77,I.006,20171228,A111110,"코스피 섬유,의복"
78,I.007,20171228,A001020,"코스피 종이,목재"
79,I.007,20171228,A002200,"코스피 종이,목재"
80,I.007,20171228,A002300,"코스피 종이,목재"
81,I.007,20171228,A002310,"코스피 종이,목재"
82,I.007,20171228,A002820,"코스피 종이,목재"
83,I.007,20171228,A002870,"코스피 종이,목재"
84,I.007,20171228,A004540,"코스피 종이,목재"
85,I.007,20171228,A004545,"코스피 종이,목재"
86,I.007,20171228,A006740,"코스피 종이,목재"
87,I.007,20171228,A008250,"코스피 종이,목재"
88,I.007,20171228,A009200,"코스피 종이,목재"
89,I.007,20171228,A009460,"코스피 종이,목재"
90,I.007,20171228,A009580,"코스피 종이,목재"
91,I.007,20171228,A009770,"코스피 종이,목재"
92,I.007,20171228,A011280,"코스피 종이,목재"
93,I.007,20171228,A012690,"코스피 종이,목재"
94,I.007,20171228,A014160,"코스피 종이,목재"
95,I.007,20171228,A016590,"코스피 종이,목재"
96,I.007,20171228,A025750,"코스피 종이,목재"
97,I.007,20171228,A027970,"코스피 종이,목재"
98,I.007,20171228,A109070,"코스피 종이,목재"
99,I.007,20171228,A213500,"코스피 종이,목재"
100,I.008,20171228,A000390,코스피 화학
101,I.008,20171228,A000860,코스피 화학
102,I.008,20171228,A000880,코스피 화학
103,I.008,20171228,A000885,코스피 화학
104,I.008,20171228,A00088K,코스피 화학
105,I.008,20171228,A001340,코스피 화학
106,I.008,20171228,A001390,코스피 화학
107,I.008,20171228,A001550,코스피 화학
108,I.008,20171228,A001570,코스피 화학
109,I.008,20171228,A002100,코스피 화학
110,I.008,20171228,A002350,코스피 화학
111,I.008,20171228,A002355,코스피 화학
112,I.008,20171228,A002360,코스피 화학
113,I.008,20171228,A002380,코스피 화학
114,I.008,20171228,A002760,코스피 화학
115,I.008,20171228,A002840,코스피 화학
116,I.008,20171228,A002960,코스피 화학
117,I.008,20171228,A003080,코스피 화학
118,I.008,20171228,A003240,코스피 화학
119,I.008,20171228,A003350,코스피 화학
120,I.008,20171228,A003650,코스피 화학
121,I.008,20171228,A003720,코스피 화학
122,I.008,20171228,A003780,코스피 화학
123,I.008,20171228,A003830,코스피 화학
124,I.008,20171228,A004000,코스피 화학
125,I.008,20171228,A004250,코스피 화학
126,I.008,20171228,A004255,코스피 화학
127,I.008,20171228,A004430,코스피 화학
128,I.008,20171228,A004800,코스피 화학
129,I.008,20171228,A004830,코스피 화학
130,I.008,20171228,A004835,코스피 화학
131,I.008,20171228,A004910,코스피 화학
132,I.008,20171228,A005070,코스피 화학
133,I.008,20171228,A005190,코스피 화학
134,I.008,20171228,A005420,코스피 화학
135,I.008,20171228,A005950,코스피 화학
136,I.008,20171228,A006060,코스피 화학
137,I.008,20171228,A006120,코스피 화학
138,I.008,20171228,A006125,코스피 화학
139,I.008,20171228,A006380,코스피 화학
140,I.008,20171228,A006650,코스피 화학
141,I.008,20171228,A006890,코스피 화학
142,I.008,20171228,A007340,코스피 화학
143,I.008,20171228,A007590,코스피 화학
144,I.008,20171228,A007690,코스피 화학
145,I.008,20171228,A008000,코스피 화학
146,I.008,20171228,A008490,코스피 화학
147,I.008,20171228,A008730,코스피 화학
148,I.008,20171228,A009830,코스피 화학
149,I.008,20171228,A009835,코스피 화학
150,I.008,20171228,A010060,코스피 화학
151,I.008,20171228,A010640,코스피 화학
152,I.008,20171228,A010950,코스피 화학
153,I.008,20171228,A010955,코스피 화학
154,I.008,20171228,A011170,코스피 화학
155,I.008,20171228,A011500,코스피 화학
156,I.008,20171228,A011780,코스피 화학
157,I.008,20171228,A011785,코스피 화학
158,I.008,20171228,A011790,코스피 화학
159,I.008,20171228,A012610,코스피 화학
160,I.008,20171228,A014440,코스피 화학
161,I.008,20171228,A014530,코스피 화학
162,I.008,20171228,A014680,코스피 화학
163,I.008,20171228,A014820,코스피 화학
164,I.008,20171228,A014825,코스피 화학
165,I.008,20171228,A014830,코스피 화학
166,I.008,20171228,A015890,코스피 화학
