date,국채3년금리
2001-01-01,6.7
2001-01-02,6.67
2001-01-03,6.64
2001-01-04,6.37
2001-01-05,6.19
2001-01-06,6.19
2001-01-07,6.19
2001-01-08,6.1
2001-01-09,6.14
2001-01-10,6.14
2001-01-11,5.95
2001-01-12,6
2001-01-13,6
2001-01-14,6
2001-01-15,5.99
2001-01-16,5.86
2001-01-17,5.73
2001-01-18,5.8
2001-01-19,5.77
2001-01-20,5.77
2001-01-21,5.77
2001-01-22,5.77
2001-01-23,5.77
2001-01-24,5.77
2001-01-25,5.77
2001-01-26,5.77
2001-01-27,5.77
2001-01-28,5.77
2001-01-29,5.75
2001-01-30,5.73
2001-01-31,5.68
2001-02-01,5.63
2001-02-02,5.48
2001-02-03,5.48
2001-02-04,5.48
2001-02-05,5.38
2001-02-06,5.28
2001-02-07,5.2
2001-02-08,5.25
2001-02-09,5.18
2001-02-10,5.18
2001-02-11,5.18
2001-02-12,5
2001-02-13,5.06
2001-02-14,5.19
2001-02-15,5.14
2001-02-16,5.32
2001-02-17,5.32
2001-02-18,5.32
2001-02-19,5.4
2001-02-20,5.4
2001-02-21,5.72
2001-02-22,5.66
2001-02-23,6
2001-02-24,6
2001-02-25,6
2001-02-26,5.87
2001-02-27,5.74
2001-02-28,5.43
2001-03-01,5.43
2001-03-02,5.55
2001-03-03,5.55
2001-03-04,5.55
2001-03-05,5.58
2001-03-06,5.83
2001-03-07,6.04
2001-03-08,6.3
2001-03-09,5.99
2001-03-10,5.99
2001-03-11,5.99
2001-03-12,6.09
2001-03-13,6.09
2001-03-14,5.74
2001-03-15,5.57
2001-03-16,5.61
2001-03-17,5.6
2001-03-18,5.6
2001-03-19,5.64
2001-03-20,5.63
2001-03-21,5.71
2001-03-22,5.85
2001-03-23,5.76
2001-03-24,5.76
2001-03-25,5.76
2001-03-26,5.68
2001-03-27,5.72
2001-03-28,5.88
2001-03-29,6.12
2001-03-30,6.31
2001-03-31,6.31
2001-04-01,6.31
2001-04-02,6.66
2001-04-03,6.46
2001-04-04,6.7
2001-04-05,6.7
2001-04-06,6.58
2001-04-07,6.58
2001-04-08,6.58
2001-04-09,6.5
2001-04-10,6.44
2001-04-11,6.4
2001-04-12,6.38
2001-04-13,6.4
2001-04-14,6.4
2001-04-15,6.4
2001-04-16,6.42
2001-04-17,6.4
2001-04-18,6.47
2001-04-19,6.48
2001-04-20,6.6
2001-04-21,6.6
2001-04-22,6.6
2001-04-23,6.72
2001-04-24,6.72
2001-04-25,6.75
2001-04-26,6.93
2001-04-27,6.85
2001-04-28,6.85
2001-04-29,6.85
2001-04-30,6.8
2001-05-01,6.8
2001-05-02,6.57
2001-05-03,6.5
2001-05-04,6.45
2001-05-05,6.45
2001-05-06,6.45
2001-05-07,6.5
2001-05-08,6.47
2001-05-09,6.42
2001-05-10,6.43
2001-05-11,6.44
2001-05-12,6.44
2001-05-13,6.44
2001-05-14,6.54
2001-05-15,6.65
2001-05-16,6.61
2001-05-17,6.61
2001-05-18,6.59
2001-05-19,6.59
2001-05-20,6.59
2001-05-21,6.54
2001-05-22,6.53
2001-05-23,6.53
2001-05-24,6.4
2001-05-25,6.42
2001-05-26,6.42
2001-05-27,6.42
2001-05-28,6.26
2001-05-29,6.3
2001-05-30,6.16
2001-05-31,6.17
2001-06-01,6.15
2001-06-02,6.15
2001-06-03,6.15
2001-06-04,6.11
2001-06-05,6.23
2001-06-06,6.23
2001-06-07,6.23
2001-06-08,6.1
2001-06-09,6.1
2001-06-10,6.1
2001-06-11,6.1
2001-06-12,6.13
2001-06-13,6.1
2001-06-14,6.07
2001-06-15,6.05
2001-06-16,6.05
2001-06-17,6.05
2001-06-18,6.14
2001-06-19,6.12
2001-06-20,6
2001-06-21,5.98
2001-06-22,5.93
2001-06-23,5.93
2001-06-24,5.93
2001-06-25,5.86
2001-06-26,5.89
2001-06-27,5.92
2001-06-28,5.9
2001-06-29,5.93
2001-06-30,5.93
2001-07-01,5.93
2001-07-02,5.96
2001-07-03,6.05
2001-07-04,6.03
2001-07-05,5.98
2001-07-06,5.92
2001-07-07,5.92
2001-07-08,5.92
2001-07-09,5.9
2001-07-10,5.9
2001-07-11,5.8
2001-07-12,5.75
2001-07-13,5.79
2001-07-14,5.79
2001-07-15,5.79
2001-07-16,5.79
2001-07-17,5.79
2001-07-18,5.66
2001-07-19,5.57
2001-07-20,5.57
2001-07-21,5.57
2001-07-22,5.57
2001-07-23,5.61
2001-07-24,5.58
2001-07-25,5.58
2001-07-26,5.57
2001-07-27,5.6
2001-07-28,5.6
2001-07-29,5.6
2001-07-30,5.63
2001-07-31,5.58
2001-08-01,5.48
2001-08-02,5.47
2001-08-03,5.42
2001-08-04,5.42
2001-08-05,5.42
2001-08-06,5.41
2001-08-07,5.37
2001-08-08,5.34
2001-08-09,5.14
2001-08-10,5.02
2001-08-11,5.02
2001-08-12,5.02
2001-08-13,4.96
2001-08-14,5.1
2001-08-15,5.1
2001-08-16,5.12
2001-08-17,5.02
2001-08-18,5.02
2001-08-19,5.02
2001-08-20,4.97
2001-08-21,4.99
2001-08-22,4.94
2001-08-23,5.06
2001-08-24,5.07
2001-08-25,5.07
2001-08-26,5.07
2001-08-27,5.15
2001-08-28,5.12
2001-08-29,5.02
2001-08-30,5.14
2001-08-31,5.15
2001-09-01,5.15
2001-09-02,5.15
2001-09-03,5.01
2001-09-04,5.02
2001-09-05,5.12
2001-09-06,5.17
2001-09-07,5.2
2001-09-08,5.2
2001-09-09,5.2
2001-09-10,5.16
2001-09-11,5.18
2001-09-12,5.05
2001-09-13,4.99
2001-09-14,4.92
2001-09-15,4.92
2001-09-16,4.92
2001-09-17,4.97
2001-09-18,4.9
2001-09-19,4.67
2001-09-20,4.7
2001-09-21,4.72
2001-09-22,4.72
2001-09-23,4.72
2001-09-24,4.68
2001-09-25,4.66
2001-09-26,4.65
2001-09-27,4.57
2001-09-28,4.45
2001-09-29,4.45
2001-09-30,4.45
2001-10-01,4.45
2001-10-02,4.45
2001-10-03,4.45
2001-10-04,4.34
2001-10-05,4.39
2001-10-06,4.39
2001-10-07,4.39
2001-10-08,4.41
2001-10-09,4.38
2001-10-10,4.5
2001-10-11,4.82
2001-10-12,4.85
2001-10-13,4.85
2001-10-14,4.85
2001-10-15,4.7
2001-10-16,4.74
2001-10-17,4.81
2001-10-18,4.82
2001-10-19,4.76
2001-10-20,4.76
2001-10-21,4.76
2001-10-22,4.72
2001-10-23,4.77
2001-10-24,4.9
2001-10-25,4.98
2001-10-26,4.98
2001-10-27,4.98
2001-10-28,4.98
2001-10-29,4.98
2001-10-30,5.03
2001-10-31,4.98
2001-11-01,4.87
2001-11-02,4.79
2001-11-03,4.79
2001-11-04,4.79
2001-11-05,4.86
2001-11-06,4.83
2001-11-07,4.87
2001-11-08,4.87
2001-11-09,4.9
2001-11-10,4.9
2001-11-11,4.9
2001-11-12,4.94
2001-11-13,4.95
2001-11-14,5.25
2001-11-15,5.53
2001-11-16,5.59
2001-11-17,5.59
2001-11-18,5.59
2001-11-19,5.63
2001-11-20,5.55
2001-11-21,5.68
2001-11-22,5.89
2001-11-23,5.82
2001-11-24,5.82
2001-11-25,5.82
2001-11-26,5.89
2001-11-27,5.92
2001-11-28,5.7
2001-11-29,5.78
2001-11-30,5.68
2001-12-01,5.68
2001-12-02,5.68
2001-12-03,5.61
2001-12-04,5.72
2001-12-05,5.84
2001-12-06,6.14
2001-12-07,6.18
2001-12-08,6.18
2001-12-09,6.18
2001-12-10,6.2
2001-12-11,6.13
2001-12-12,6.15
2001-12-13,6.08
2001-12-14,5.94
2001-12-15,5.94
2001-12-16,5.94
2001-12-17,5.89
2001-12-18,5.79
2001-12-19,5.83
2001-12-20,5.88
2001-12-21,5.87
2001-12-22,5.87
2001-12-23,5.87
2001-12-24,5.87
2001-12-25,5.87
2001-12-26,5.81
2001-12-27,5.84
2001-12-28,5.91
2001-12-29,5.91
2001-12-30,5.91
2001-12-31,5.91
2002-01-01,5.91
2002-01-02,6.15
2002-01-03,6.17
2002-01-04,6.17
2002-01-05,6.17
2002-01-06,6.17
2002-01-07,6.15
2002-01-08,6.21
2002-01-09,6.15
2002-01-10,6.14
2002-01-11,6
2002-01-12,6
2002-01-13,6
2002-01-14,6.06
2002-01-15,6.02
2002-01-16,5.98
2002-01-17,5.96
2002-01-18,5.96
2002-01-19,5.96
2002-01-20,5.96
2002-01-21,5.96
2002-01-22,6.05
2002-01-23,6.08
2002-01-24,6.15
2002-01-25,6.12
2002-01-26,6.12
2002-01-27,6.12
2002-01-28,6.18
2002-01-29,6.15
2002-01-30,6.05
2002-01-31,6.03
2002-02-01,5.95
2002-02-02,5.95
2002-02-03,5.95
2002-02-04,5.95
2002-02-05,5.92
2002-02-06,5.94
2002-02-07,5.85
2002-02-08,5.9
2002-02-09,5.9
2002-02-10,5.9
2002-02-11,5.9
2002-02-12,5.9
2002-02-13,5.9
2002-02-14,6
2002-02-15,5.99
2002-02-16,5.99
2002-02-17,5.99
2002-02-18,5.97
2002-02-19,5.95
2002-02-20,5.96
2002-02-21,5.93
2002-02-22,5.93
2002-02-23,5.93
2002-02-24,5.93
2002-02-25,5.89
2002-02-26,5.85
2002-02-27,5.85
2002-02-28,5.71
2002-03-01,5.71
2002-03-02,5.71
2002-03-03,5.71
2002-03-04,5.9
2002-03-05,5.93
2002-03-06,6.05
2002-03-07,6.05
2002-03-08,6.19
2002-03-09,6.19
2002-03-10,6.19
2002-03-11,6.22
2002-03-12,6.23
2002-03-13,6.35
2002-03-14,6.36
2002-03-15,6.44
2002-03-16,6.44
2002-03-17,6.44
2002-03-18,6.4
2002-03-19,6.55
2002-03-20,6.48
2002-03-21,6.48
2002-03-22,6.46
2002-03-23,6.46
2002-03-24,6.46
2002-03-25,6.44
2002-03-26,6.48
2002-03-27,6.46
2002-03-28,6.37
2002-03-29,6.39
2002-03-30,6.39
2002-03-31,6.39
2002-04-01,6.46
2002-04-02,6.53
2002-04-03,6.49
2002-04-04,6.52
2002-04-05,6.52
2002-04-06,6.52
2002-04-07,6.52
2002-04-08,6.52
2002-04-09,6.58
2002-04-10,6.52
2002-04-11,6.53
2002-04-12,6.48
2002-04-13,6.48
2002-04-14,6.48
2002-04-15,6.46
2002-04-16,6.51
2002-04-17,6.51
2002-04-18,6.49
2002-04-19,6.47
2002-04-20,6.47
2002-04-21,6.47
2002-04-22,6.49
2002-04-23,6.47
2002-04-24,6.44
2002-04-25,6.4
2002-04-26,6.37
2002-04-27,6.37
2002-04-28,6.37
2002-04-29,6.33
2002-04-30,6.33
2002-05-01,6.33
2002-05-02,6.31
2002-05-03,6.28
2002-05-04,6.28
2002-05-05,6.28
2002-05-06,6.29
2002-05-07,6.34
2002-05-08,6.38
2002-05-09,6.4
2002-05-10,6.29
2002-05-11,6.29
2002-05-12,6.29
2002-05-13,6.25
2002-05-14,6.24
2002-05-15,6.32
2002-05-16,6.31
2002-05-17,6.32
2002-05-18,6.32
2002-05-19,6.32
2002-05-20,6.32
2002-05-21,6.28
2002-05-22,6.33
2002-05-23,6.31
2002-05-24,6.31
2002-05-25,6.31
2002-05-26,6.31
2002-05-27,6.31
2002-05-28,6.32
2002-05-29,6.28
2002-05-30,6.15
2002-05-31,6.14
2002-06-01,6.14
2002-06-02,6.14
2002-06-03,6.14
2002-06-04,6.08
2002-06-05,6.1
2002-06-06,6.1
2002-06-07,6.05
2002-06-08,6.05
2002-06-09,6.05
2002-06-10,6.06
2002-06-11,6.08
2002-06-12,6.09
2002-06-13,6.09
2002-06-14,6.08
2002-06-15,6.08
2002-06-16,6.08
2002-06-17,5.98
2002-06-18,5.95
2002-06-19,5.89
2002-06-20,5.89
2002-06-21,5.86
2002-06-22,5.86
2002-06-23,5.86
2002-06-24,5.83
2002-06-25,5.75
2002-06-26,5.52
2002-06-27,5.61
2002-06-28,5.66
2002-06-29,5.66
2002-06-30,5.66
2002-07-01,5.66
2002-07-02,5.62
2002-07-03,5.66
2002-07-04,5.76
2002-07-05,5.91
2002-07-06,5.91
2002-07-07,5.91
2002-07-08,5.86
2002-07-09,5.93
2002-07-10,5.91
2002-07-11,5.8
2002-07-12,5.88
2002-07-13,5.88
2002-07-14,5.88
2002-07-15,5.84
2002-07-16,5.83
2002-07-17,5.83
2002-07-18,5.84
2002-07-19,5.7
2002-07-20,5.7
2002-07-21,5.7
2002-07-22,5.45
2002-07-23,5.64
2002-07-24,5.54
2002-07-25,5.5
2002-07-26,5.43
2002-07-27,5.43
2002-07-28,5.43
2002-07-29,5.46
2002-07-30,5.57
2002-07-31,5.54
2002-08-01,5.48
2002-08-02,5.39
2002-08-03,5.39
2002-08-04,5.39
2002-08-05,5.26
2002-08-06,5.32
2002-08-07,5.3
2002-08-08,5.28
2002-08-09,5.27
2002-08-10,5.27
2002-08-11,5.27
2002-08-12,5.26
2002-08-13,5.26
2002-08-14,5.24
2002-08-15,5.24
2002-08-16,5.27
2002-08-17,5.27
2002-08-18,5.27
2002-08-19,5.29
2002-08-20,5.35
2002-08-21,5.41
2002-08-22,5.44
2002-08-23,5.48
2002-08-24,5.48
2002-08-25,5.48
2002-08-26,5.57
2002-08-27,5.56
2002-08-28,5.56
2002-08-29,5.53
2002-08-30,5.45
2002-08-31,5.45
2002-09-01,5.45
2002-09-02,5.5
2002-09-03,5.45
2002-09-04,5.35
2002-09-05,5.34
2002-09-06,5.29
2002-09-07,5.29
2002-09-08,5.29
2002-09-09,5.31
2002-09-10,5.39
2002-09-11,5.5
2002-09-12,5.47
2002-09-13,5.34
2002-09-14,5.34
2002-09-15,5.34
2002-09-16,5.34
2002-09-17,5.51
2002-09-18,5.37
2002-09-19,5.38
2002-09-20,5.38
2002-09-21,5.38
2002-09-22,5.38
2002-09-23,5.32
2002-09-24,5.31
2002-09-25,5.32
2002-09-26,5.29
2002-09-27,5.3
2002-09-28,5.3
2002-09-29,5.3
2002-09-30,5.3
2002-10-01,5.31
2002-10-02,5.34
2002-10-03,5.34
2002-10-04,5.38
2002-10-05,5.38
2002-10-06,5.38
2002-10-07,5.38
2002-10-08,5.41
2002-10-09,5.39
2002-10-10,5.33
2002-10-11,5.33
2002-10-12,5.33
2002-10-13,5.33
2002-10-14,5.36
2002-10-15,5.38
2002-10-16,5.4
2002-10-17,5.5
2002-10-18,5.49
2002-10-19,5.49
2002-10-20,5.49
2002-10-21,5.45
2002-10-22,5.45
2002-10-23,5.46
2002-10-24,5.43
2002-10-25,5.4
2002-10-26,5.4
2002-10-27,5.4
2002-10-28,5.37
2002-10-29,5.35
2002-10-30,5.35
2002-10-31,5.33
2002-11-01,5.31
2002-11-02,5.31
2002-11-03,5.31
2002-11-04,5.35
2002-11-05,5.34
2002-11-06,5.35
2002-11-07,5.28
2002-11-08,5.24
2002-11-09,5.24
2002-11-10,5.24
2002-11-11,5.23
2002-11-12,5.2
2002-11-13,5.17
2002-11-14,5.18
2002-11-15,5.27
2002-11-16,5.27
2002-11-17,5.27
2002-11-18,5.24
2002-11-19,5.22
2002-11-20,5.24
2002-11-21,5.27
2002-11-22,5.3
2002-11-23,5.3
2002-11-24,5.3
2002-11-25,5.37
2002-11-26,5.35
2002-11-27,5.39
2002-11-28,5.41
2002-11-29,5.35
2002-11-30,5.35
2002-12-01,5.35
2002-12-02,5.39
2002-12-03,5.4
2002-12-04,5.37
2002-12-05,5.39
2002-12-06,5.39
2002-12-07,5.39
2002-12-08,5.39
2002-12-09,5.34
2002-12-10,5.34
2002-12-11,5.31
2002-12-12,5.3
2002-12-13,5.27
2002-12-14,5.27
2002-12-15,5.27
2002-12-16,5.27
2002-12-17,5.28
2002-12-18,5.27
2002-12-19,5.27
2002-12-20,5.24
2002-12-21,5.24
2002-12-22,5.24
2002-12-23,5.23
2002-12-24,5.24
2002-12-25,5.24
2002-12-26,5.19
2002-12-27,5.19
2002-12-28,5.19
2002-12-29,5.19
2002-12-30,5.13
2002-12-31,5.11
2003-01-01,5.11
2003-01-02,5.07
2003-01-03,5.09
2003-01-04,5.09
2003-01-05,5.09
2003-01-06,5.1
2003-01-07,5.05
2003-01-08,5.06
2003-01-09,5.06
2003-01-10,5.03
2003-01-11,5.03
2003-01-12,5.03
2003-01-13,5.05
2003-01-14,5.01
2003-01-15,4.98
2003-01-16,4.96
2003-01-17,4.96
2003-01-18,4.96
2003-01-19,4.96
2003-01-20,4.96
2003-01-21,4.93
2003-01-22,4.89
2003-01-23,4.91
2003-01-24,4.9
2003-01-25,4.9
2003-01-26,4.9
2003-01-27,4.87
2003-01-28,4.81
2003-01-29,4.74
2003-01-30,4.77
2003-01-31,4.77
2003-02-01,4.77
2003-02-02,4.77
2003-02-03,4.79
2003-02-04,4.76
2003-02-05,4.76
2003-02-06,4.7
2003-02-07,4.68
2003-02-08,4.68
2003-02-09,4.68
2003-02-10,4.68
2003-02-11,4.75
2003-02-12,4.81
2003-02-13,4.78
2003-02-14,4.77
2003-02-15,4.77
2003-02-16,4.77
2003-02-17,4.86
2003-02-18,4.85
2003-02-19,4.78
2003-02-20,4.79
2003-02-21,4.73
2003-02-22,4.73
2003-02-23,4.73
